company_name,count_salary_from_pln,mean_salary_from_pln,median_salary_from_pln,min_salary_from_pln,max_salary_from_pln,std_salary_from_pln
WIZCODE,9,19555.555555555555,18000.0,16000.0,22000.0,2403.700850309326
Wave,1,25500.0,25500.0,25500.0,25500.0,
Waynet,3,12000.0,12000.0,12000.0,12000.0,0.0
Waytogrow,3,8500.0,8500.0,8500.0,8500.0,0.0
Wazdan Solutions,9,17666.666666666668,18000.0,15000.0,18000.0,999.9999999999999
WeLovePeople,1,20000.0,20000.0,20000.0,20000.0,
WearTech,3,12000.0,15000.0,6000.0,15000.0,5196.152422706632
Web24.com.pl sp. z o.o.,4,15000.0,15000.0,15000.0,15000.0,0.0
WebCrafters,1,10000.0,10000.0,10000.0,10000.0,
Webactly,1,12000.0,12000.0,12000.0,12000.0,
Webanywhere,1,15000.0,15000.0,15000.0,15000.0,
Webanywhere sp. z o.o.,2,9000.0,9000.0,7000.0,11000.0,2828.42712474619
Webellian Sp.z o o,2,18500.0,18500.0,15000.0,22000.0,4949.747468305833
Wellbeing Polska,2,10000.0,10000.0,10000.0,10000.0,0.0
WhitePress,2,15000.0,15000.0,15000.0,15000.0,0.0
Wildland,4,20000.0,20000.0,20000.0,20000.0,0.0
Wiley Edge,1,3700.0,3700.0,3700.0,3700.0,
Winged IT,8,20139.375,23350.0,11675.0,28020.0,7270.977256728091
WizzDev,1,18000.0,18000.0,18000.0,18000.0,
Wonder Miles,4,15000.0,15000.0,15000.0,15000.0,0.0
Wunderman Thompson Technology,6,18000.0,18000.0,16000.0,20000.0,2190.890230020664
Wykop Sp. z o.o.,1,15000.0,15000.0,15000.0,15000.0,
X-ONE,6,14000.0,14000.0,14000.0,14000.0,0.0
X13,10,9000.0,9000.0,9000.0,9000.0,0.0
XPERI Poland,1,16000.0,16000.0,16000.0,16000.0,
XTB,7,12142.857142857143,14000.0,6000.0,14000.0,3078.3421635988548
Xebia,1,18000.0,18000.0,18000.0,18000.0,
Xebia sp. z o.o.,10,12410.0,10550.0,10000.0,19300.0,3516.7693507915283
Yacht Concept,1,3000.0,3000.0,3000.0,3000.0,
Yanosik,1,8000.0,8000.0,8000.0,8000.0,
YieldRiser,4,8000.0,8000.0,8000.0,8000.0,0.0
ZABBIX,1,19614.0,19614.0,19614.0,19614.0,
ZEN.COM,2,16000.0,16000.0,15000.0,17000.0,1414.213562373095
ZetaTrading,1,12870.0,12870.0,12870.0,12870.0,
Zoolatech,4,22500.0,23000.0,20000.0,24000.0,1732.0508075688774
Zyte,1,15000.0,15000.0,15000.0,15000.0,
apetigo,5,14400.0,14000.0,14000.0,16000.0,894.4271909999158
apreel,9,23777.777777777777,25000.0,16800.0,25200.0,2709.8421438239616
artgeist sp zo.o.,2,13500.0,13500.0,10000.0,17000.0,4949.747468305833
blue veery,1,30000.0,30000.0,30000.0,30000.0,
co.brick,2,19000.0,19000.0,18000.0,20000.0,1414.213562373095
core3,5,7260.0,8000.0,4000.0,8300.0,1827.019430657485
cronn Polska,1,12000.0,12000.0,12000.0,12000.0,
deepsense.ai (Program Kariera),1,4500.0,4500.0,4500.0,4500.0,
dm-drogerie markt sp.z o.o.,1,15000.0,15000.0,15000.0,15000.0,
dmt Software House,8,10500.0,10500.0,10000.0,11000.0,534.5224838248486
dogadamycie.pl,1,4000.0,4000.0,4000.0,4000.0,
"dotData, Inc.",4,22395.0,23341.0,13232.0,29666.0,6912.963763828073
dotLinkers,19,38209.15789473684,43664.5,22000.0,43664.5,7543.236593599429
e-Loop,8,11000.0,11000.0,10000.0,12000.0,1069.0449676496976
eSky.pl,20,17900.0,18000.0,16000.0,18000.0,447.2135954999578
eStoreMedia sp. z o.o.,10,20000.0,20000.0,20000.0,20000.0,0.0
elo.city,1,15000.0,15000.0,15000.0,15000.0,
emagine Polska,31,26594.162580645163,26880.0,10080.0,38640.0,5968.497830728134
eo Networks,19,15000.0,15000.0,15000.0,15000.0,0.0
fast thinking,1,12000.0,12000.0,12000.0,12000.0,
feedink.com,2,16000.0,16000.0,16000.0,16000.0,0.0
gnStudio,4,8000.0,8000.0,8000.0,8000.0,0.0
hireplace.it,1,12000.0,12000.0,12000.0,12000.0,
hubQuest,10,20000.0,20000.0,20000.0,20000.0,0.0
i2a Solutions,11,18818.18181818182,20000.0,7000.0,20000.0,3919.647479510927
iMakeable,38,16000.0,16000.0,16000.0,16000.0,0.0
iRonin.IT,3,24333.333333333332,25000.0,20000.0,28000.0,4041.45188432738
iTechArt Group,1,14000.0,14000.0,14000.0,14000.0,
in4ge sp. z o.o.,5,18000.0,21500.0,10000.0,22000.0,5488.624600025038
in4mates,6,21750.0,21750.0,21750.0,21750.0,0.0
itCraft,3,10500.0,10500.0,10500.0,10500.0,0.0
iteratec,1,18000.0,18000.0,18000.0,18000.0,
ithouse,1,16000.0,16000.0,16000.0,16000.0,
j-labs,8,24487.5,25000.0,19500.0,29000.0,2945.9112099896793
kicket.com,1,18000.0,18000.0,18000.0,18000.0,
lemon.io,2,21450.0,21450.0,21450.0,21450.0,0.0
mElements,1,16000.0,16000.0,16000.0,16000.0,
mTab Poland,2,12950.0,12950.0,9500.0,16400.0,4879.036790187178
makeitright,5,16400.0,16000.0,10000.0,20000.0,4098.78030638384
monday.com,3,33333.333333333336,35000.0,30000.0,35000.0,2886.7513459481283
myTU,9,9340.0,9340.0,9340.0,9340.0,0.0
o4b Sp. z o.o.,22,10000.0,10000.0,8000.0,12000.0,2047.065262876635
optAd360,1,18000.0,18000.0,18000.0,18000.0,
proALPHA Group,38,17500.0,17500.0,10000.0,25000.0,7600.675645642975
skills matter,2,15500.0,15500.0,13000.0,18000.0,3535.5339059327375
sky gate,8,11376.25,9000.0,6000.0,18000.0,4658.748874046397
speedapp,1,23536.8,23536.8,23536.8,23536.8,
summ-it,1,10000.0,10000.0,10000.0,10000.0,
tonik,1,22000.0,22000.0,22000.0,22000.0,
