company_size,count_salary_from_pln,mean_salary_from_pln,median_salary_from_pln,min_salary_from_pln,max_salary_from_pln,std_salary_from_pln
200 ,5,16400.0,18000.0,13000.0,18000.0,2302.1728866442677
200+,207,15213.280193236715,15000.0,3500.0,90000.0,7855.538692184745
200-220,4,10250.0,9000.0,9000.0,14000.0,2500.0
200-250,14,19670.85714285714,17000.0,10000.0,29888.0,7849.34630161247
2000,47,15748.936170212766,10000.0,5000.0,25000.0,7772.83095259226
2000+,48,16288.666666666666,14000.0,4000.0,34320.0,6805.137887931358
201-500,13,13166.153846153846,13000.0,6000.0,18000.0,2752.978806255564
21,1,9000.0,9000.0,9000.0,9000.0,
215,1,5000.0,5000.0,5000.0,5000.0,
220,42,20709.35619047619,21482.0,18000.0,28020.0,2016.6872918228466
230,4,19750.0,18000.0,18000.0,25000.0,3500.0000000000005
230+,9,20068.666666666668,19999.0,10000.0,29000.0,5607.853488635379
2300+,3,17700.0,17700.0,17700.0,17700.0,0.0
24,1,8000.0,8000.0,8000.0,8000.0,
25,11,12952.272727272728,13000.0,4500.0,21015.0,4860.151933652056
25 - 30,1,18000.0,18000.0,18000.0,18000.0,
25+,31,16938.709677419356,18000.0,4000.0,22000.0,5183.607329479786
25-30,2,15000.0,15000.0,12000.0,18000.0,4242.640687119285
25-40,1,16940.0,16940.0,16940.0,16940.0,
250,46,17266.978260869564,18000.0,5000.0,32000.0,5001.631393807115
250+,49,16181.224489795919,16800.0,5000.0,31000.0,6802.149670218557
250-300,19,20160.0,20160.0,20160.0,20160.0,0.0
2500,11,23625.272727272728,25792.0,14000.0,25792.0,3608.6597260176554
2500 +,6,23500.0,23500.0,10000.0,37000.0,14788.509052639485
2500+,1,10000.0,10000.0,10000.0,10000.0,
25>,1,6000.0,6000.0,6000.0,6000.0,
26,3,12000.0,12000.0,12000.0,12000.0,0.0
26-50,9,10000.0,10000.0,10000.0,10000.0,0.0
2700+,6,24166.666666666668,25000.0,18000.0,27000.0,3125.1666622224593
280,22,23181.81818181818,25000.0,11000.0,25000.0,4686.722518494983
280+,9,11222.222222222223,11000.0,9000.0,14000.0,1481.3657362192646
280-300,10,10725.0,10725.0,10725.0,10725.0,0.0
280000,21,19524.714285714286,19300.0,19300.0,24000.0,1025.4251383137207
29,1,12000.0,12000.0,12000.0,12000.0,
3,1,8000.0,8000.0,8000.0,8000.0,
3-10,1,9000.0,9000.0,9000.0,9000.0,
30,39,17884.615384615383,18000.0,5500.0,30000.0,7063.119128392382
30 - 50,1,6000.0,6000.0,6000.0,6000.0,
30+,18,13175.555555555555,12000.0,8000.0,20160.0,4542.031447843862
30-40,47,17923.40425531915,19000.0,7000.0,30000.0,6167.7355708684045
30-50,33,16454.545454545456,18000.0,12000.0,26000.0,3083.1285763298642
300,55,23104.523636363636,25000.0,9000.0,33000.0,6826.161630569057
300 - 400,4,24000.0,24000.0,24000.0,24000.0,0.0
300+,208,18148.990384615383,18000.0,5500.0,30240.0,5233.678811628466
300-350,1,13000.0,13000.0,13000.0,13000.0,
300-500,18,7944.444444444444,8000.0,7000.0,8000.0,235.70226039551574
