city,count_salary_from_pln,mean_salary_from_pln,median_salary_from_pln,min_salary_from_pln,max_salary_from_pln,std_salary_from_pln
Pińczów,1,14000.0,14000.0,14000.0,14000.0,
Poniatów,1,5000.0,5000.0,5000.0,5000.0,
Poznań,403,17001.954044665013,16750.0,3500.0,47600.0,7061.855874118939
Pruszcz Gdański,1,5500.0,5500.0,5500.0,5500.0,
Pruszków,12,18322.5,19000.0,7000.0,25200.0,5668.7727146984025
Przecław,1,7000.0,7000.0,7000.0,7000.0,
Przemyśl,1,7000.0,7000.0,7000.0,7000.0,
Płock,8,17529.510000000002,16000.0,8500.0,33736.08,7349.473519002181
Raciąż,1,8000.0,8000.0,8000.0,8000.0,
Radom,13,18596.53846153846,17000.0,8000.0,47600.0,10310.026144611087
Radzymin,2,15260.0,15260.0,7000.0,23520.0,11681.404025201766
Raszyn,5,18412.0,20160.0,10000.0,25000.0,5705.849629985003
Reda,3,11400.0,12000.0,5500.0,16700.0,5624.055476255547
Robakowo,2,5500.0,5500.0,5500.0,5500.0,0.0
Rokietnica,1,9000.0,9000.0,9000.0,9000.0,
Roma,1,6435.0,6435.0,6435.0,6435.0,
Roma ,2,6435.0,6435.0,6435.0,6435.0,0.0
Ropczyce,1,7000.0,7000.0,7000.0,7000.0,
Ruda Śląska,4,7250.0,7000.0,7000.0,8000.0,500.0
Rumia,2,7750.0,7750.0,5500.0,10000.0,3181.9805153394636
Rybnik,9,14988.888888888889,9000.0,7000.0,47600.0,13370.905396087099
Rzeszów,113,18623.593628318584,18000.0,3200.0,47600.0,7809.911779994822
Siedlce,1,8500.0,8500.0,8500.0,8500.0,
Skawina,4,15250.0,11000.0,9000.0,30000.0,9912.113800799505
Skierniewice,1,20000.0,20000.0,20000.0,20000.0,
Sochaczew,2,20600.0,20600.0,16000.0,25200.0,6505.382386916237
Sokołów Małopolski,1,7000.0,7000.0,7000.0,7000.0,
Sopot,14,13550.0,14500.0,5000.0,21450.0,4961.234337727473
Sosnowiec,6,6834.166666666667,7000.0,5000.0,8000.0,983.3637000960869
Stargard,1,7000.0,7000.0,7000.0,7000.0,
Strzelce Opolskie,1,7500.0,7500.0,7500.0,7500.0,
Suchy Las,3,8333.333333333334,8000.0,8000.0,9000.0,577.3502691896259
Sulejówek,1,14000.0,14000.0,14000.0,14000.0,
Suwałki,3,15333.333333333334,18000.0,10000.0,18000.0,4618.802153517006
Swarzędz,1,9000.0,9000.0,9000.0,9000.0,
Szczecin,157,18651.31796178344,18000.0,3500.0,47600.0,7367.655653402498
Sępólno Krajeńskie,1,8000.0,8000.0,8000.0,8000.0,
Słupsk,4,15500.0,16000.0,10000.0,20000.0,4123.10562561766
Tarczyn,1,23520.0,23520.0,23520.0,23520.0,
Tarnobrzeg,1,15000.0,15000.0,15000.0,15000.0,
Tarnowo Podgórne,2,8500.0,8500.0,8000.0,9000.0,707.1067811865476
Tarnowskie Góry,4,7250.0,7000.0,7000.0,8000.0,499.9999999999999
Tarnów,29,20543.485517241377,18000.0,13000.0,35025.0,5912.651689538041
Tczew,4,14436.04,12000.0,5500.0,28244.16,9701.985545567464
Toruń,72,17674.97611111111,17500.0,7000.0,33736.08,5587.245554549699
Trzcianka,1,10000.0,10000.0,10000.0,10000.0,
Trzebnica,1,15000.0,15000.0,15000.0,15000.0,
Tychy,8,11085.0,9000.0,7000.0,20000.0,5317.418815284617
Ustroń,1,12000.0,12000.0,12000.0,12000.0,
Wadowice,4,16375.0,12750.0,10000.0,30000.0,9231.964399122577
Warsaw,16,21332.375,22208.0,8000.0,42000.0,8450.226228727055
Warszawa,1448,17859.299026243094,17160.0,2400.0,90000.0,7448.560104735521
Wałbrzych,11,17805.38909090909,20000.0,8500.0,28000.0,5986.236088337068
Wejherowo,6,11033.333333333334,11000.0,5500.0,16700.0,3653.3090023520685
Wieliczka,9,12666.666666666666,10000.0,6000.0,30000.0,7500.0
Wola Bykowska,1,5000.0,5000.0,5000.0,5000.0,
Wolsztyn,1,10000.0,10000.0,10000.0,10000.0,
Wołomin,2,15260.0,15260.0,7000.0,23520.0,11681.404025201766
Wrocław,767,17415.478539765318,17000.0,3500.0,60480.0,6764.0795450365
Wysogotowo,1,14000.0,14000.0,14000.0,14000.0,
Wyszków,1,21015.0,21015.0,21015.0,21015.0,
Włodzimierzów,1,5000.0,5000.0,5000.0,5000.0,
Zabierzów,2,7000.0,7000.0,6000.0,8000.0,1414.213562373095
Zabrze,9,13970.675555555556,11000.0,7000.0,33736.08,8842.405742069168
Zakręt,1,14000.0,14000.0,14000.0,14000.0,
Zalesie Górne,1,42030.0,42030.0,42030.0,42030.0,
Zamość,4,14450.0,14500.0,12000.0,16800.0,2311.5651263447744
Zator,2,12750.0,12750.0,11500.0,14000.0,1767.7669529663688
Zawadzkie,1,15000.0,15000.0,15000.0,15000.0,
Zielona Góra,71,18965.154929577464,19000.0,7000.0,47600.0,7271.259420579642
Zielonka,1,6000.0,6000.0,6000.0,6000.0,
Ząbki,5,19212.0,20160.0,14000.0,25000.0,4351.174554071578
Łańcut,1,7000.0,7000.0,7000.0,7000.0,
Łomianki,2,18000.0,18000.0,16000.0,20000.0,2828.42712474619
Łódź,281,17807.750604982208,17658.0,3500.0,47600.0,6972.01029385786
Śląsk,1,15000.0,15000.0,15000.0,15000.0,
Środa Śląska,1,15000.0,15000.0,15000.0,15000.0,
Świdnica,1,15000.0,15000.0,15000.0,15000.0,
Żarki,1,15000.0,15000.0,15000.0,15000.0,
Żerniki Wrocławskie,1,5500.0,5500.0,5500.0,5500.0,
Żory,4,7250.0,7000.0,7000.0,8000.0,499.9999999999999
Żyrardów,2,20875.0,20875.0,20000.0,21750.0,1237.4368670764582
Żywiec,2,12750.0,12750.0,11500.0,14000.0,1767.7669529663688
